job_title,company_name,job_link,experience,salary,date_posted,work_type
"Java ( AWS , Terraform ) -( Software Developer ( Remote | Contract | UK Shift )",Venpa Global Technologies Private Limited,https://www.shine.com/jobs/java-aws-terraform-software-developer-remote-contract-uk-shift/venpa-global-technologies-private-limited/17971423,5-8,Not Disclosed,1 week ago,Remote + Contract
.NET Lead Developer,"ITMC Systems, Inc",https://www.shine.com/jobs/net-lead-developer/itmc-systems-inc/17743201,5-9,Not Disclosed,1 month ago,Remote + Contract
Senior .NET Azure Developer,AceStack,https://www.shine.com/jobs/senior-net-azure-developer/acestack/17994993,5-9,Not Disclosed,2 days ago,Remote + Contract
Azure Data Engineer,CipherCru Innovation Pvt Ltd,https://www.shine.com/jobs/azure-data-engineer/ciphercru-innovation-pvt-ltd/17987806,4-8,Not Disclosed,3 days ago,Remote + Contract
Perl Developer,HYRE GLOBAL RECRUITMENT AND SERVICES PRIVATE LIMITED,https://www.shine.com/jobs/perl-developer/hyre-global-recruitment-and-services-private-limited/17917665,6-8,Not Disclosed,2 weeks ago,Remote + Contract
Subject Matter Expert - (Science and Mathematics),STEMpedia,https://www.shine.com/jobs/subject-matter-expert-science-and-mathematics/stempedia/17831073,5-9,Not Disclosed,1 month ago,Remote + Contract
Lead Devops Engineer,Vy Systems Private Limited,https://www.shine.com/jobs/lead-devops-engineer/vy-systems-private-limited/17997804,8-13,Not Disclosed,1 day ago,Remote + Contract
Epic Software Engineer  Remote,Venpa Global Technologies Private Limited,https://www.shine.com/jobs/epic-software-engineer-remote/venpa-global-technologies-private-limited/17913096,4-7,Not Disclosed,2 weeks ago,Remote + Contract
UI Developer SAP Spartacus (Contract),CloudTrilogy,https://www.shine.com/jobs/ui-developer-sap-spartacus-contract/cloudtrilogy/17825774,5-9,Not Disclosed,1 month ago,Remote + Contract
Smart Contract Developer,Nadcab Labs,https://www.shine.com/jobs/smart-contract-developer/nadcab-labs/17740671,2-6,Not Disclosed,1 month ago,Remote + Contract
Rust Blockchain Protocol Developer,Sarva Labs,https://www.shine.com/jobs/rust-blockchain-protocol-developer/sarva-labs/17980361,2-6,Not Disclosed,5 days ago,Remote + Contract
Full-Stack Developer (Frontend Focus),LvlUp Labz,https://www.shine.com/jobs/full-stack-developer-frontend-focus/lvlup-labz/17990569,2-6,Not Disclosed,3 days ago,Remote + Contract
React Developer,VGreen Technology Solutions (VGreenTEK),https://www.shine.com/jobs/react-developer/vgreen-technology-solutions-vgreentek/17989150,8-12,Not Disclosed,3 days ago,Remote + Contract
Solution Architect Specialist,BT Group,https://www.shine.com/jobs/solution-architect-specialist/bt-group/17995226,12-16,Not Disclosed,2 days ago,Remote + Contract
Senior Golang Developer,NTT DATA Services,https://www.shine.com/jobs/senior-golang-developer/ntt-data-services/17971640,7-11,Not Disclosed,7 days ago,Remote + Contract
Freelance Golang Developer,ThreatXIntel,https://www.shine.com/jobs/freelance-golang-developer/threatxintel/17927943,3-7,Not Disclosed,2 weeks ago,Remote + Contract
Senior Salesforce Developer - Financial Services Cloud,True Data Software,https://www.shine.com/jobs/senior-salesforce-developer-financial-services-cloud/true-data-software/17839864,5-9,Not Disclosed,1 month ago,Remote + Contract
Senior Salesforce Developer - Service Cloud,True Data Software,https://www.shine.com/jobs/senior-salesforce-developer-service-cloud/true-data-software/17818922,3-7,Not Disclosed,1 month ago,Remote + Contract
AI Meeting Bot Developer,CosmicFusion Labs,https://www.shine.com/jobs/ai-meeting-bot-developer/cosmicfusion-labs/17932874,3-7,Not Disclosed,2 weeks ago,Remote + Contract
Helpdesk Specialist,Accelerated IT Services,https://www.shine.com/jobs/helpdesk-specialist/accelerated-it-services/17957753,3-7,Not Disclosed,1 week ago,Remote + Contract
Business Development Specialist - IT Services,Shift Ahead Technologies Pvt. Ltd.,https://www.shine.com/jobs/business-development-specialist-it-services/shift-ahead-technologies-pvt-ltd/17990040,4-8,Not Disclosed,3 days ago,Remote + Contract
It Software sales,Om Sai Group Consultancy Hiring For IT Software Sales Manager,https://www.shine.com/jobs/it-software-sales/om-sai-group-consultancy/17913062,4-9,Not Disclosed,2 weeks ago,Remote + Contract
Opening For Oracle CRM Techno Functional,BITBYBIT SOLUTIONS,https://www.shine.com/jobs/job-opening-for-oracle-crm-techno-functional/bitbybit-solutions/17955409,6-11,Not Disclosed,1 week ago,Remote + Contract
Senior Statistical Programmer - Analytics,Element Infomatics (India) Pvt. Ltd.,https://www.shine.com/jobs/senior-statistical-programmer-analytics/element-infomatics-india-pvt-ltd/17739325,6-14,Not Disclosed,1 month ago,Remote + Contract
"Assistant Manager, Performance Services, APEC (Contract)","Marriott International, Inc",https://www.shine.com/jobs/assistant-manager-performance-services-apec-contract/marriott-international-inc/17990775,7-11,Not Disclosed,3 days ago,Remote + Contract
Technical Lead(SAP FSCM with BCM),Klaus IT Solutions Pvt Ltd,https://www.shine.com/jobs/technical-leadsap-fscm-with-bcm/klaus-it-solutions-pvt-ltd/17997377,2-12,Not Disclosed,2 days ago,Remote + Contract
Talent and Learning Professional- Third Party Contract,Siemens,https://www.shine.com/jobs/talent-and-learning-professional-third-party-contract/siemens/17936591,3-7,Not Disclosed,2 weeks ago,Remote + Contract
Solution Architect - Salesforce Sales Cloud,True Data Software,https://www.shine.com/jobs/solution-architect-salesforce-sales-cloud/true-data-software/17840764,5-9,Not Disclosed,1 month ago,Remote + Contract
Expert Backend Developer,Tetra Connect,https://www.shine.com/jobs/expert-backend-developer/tetra-connect/17909119,5-9,Not Disclosed,2 weeks ago,Remote + Contract
Expert Backend Developer - Node + Express Js,Tetra Connect,https://www.shine.com/jobs/expert-backend-developer-node-express-js/tetra-connect/17913990,5-9,Not Disclosed,2 weeks ago,Remote + Contract
Licensed Insurance Surveyor,Virtual Connect Solutions,https://www.shine.com/jobs/licensed-insurance-surveyor/virtual-connect-solutions/17802493,5-9,Not Disclosed,1 month ago,Remote + Contract
Safety Manager / HSE Manager,CONNECT PLUS PRIVATE LIMITED,https://www.shine.com/jobs/safety-manager-hse-manager/connect-plus-private-limited/17812729,3-8,Not Disclosed,1 month ago,Remote + Contract
Java Spring Boot Full Stack Developer - Assistant Vice President,Early Career,https://www.shine.com/jobs/java-spring-boot-full-stack-developer-assistant-vice-president/early-career/17812986,8-12,Not Disclosed,1 month ago,Remote + Contract
Java Spring Boot Developer,SayOne Technologies,https://www.shine.com/jobs/java-spring-boot-developer/sayone-technologies/17897708,3-7,Not Disclosed,3 weeks ago,Remote + Contract
Sr Java Developer,VGreen Technology Solutions (VGreenTEK),https://www.shine.com/jobs/sr-java-developer/vgreen-technology-solutions-vgreentek/17963747,4-8,Not Disclosed,1 week ago,Remote + Contract
Software Test Engineer (QA),TeqDeft Pvt. Ltd.,https://www.shine.com/jobs/software-test-engineer-qa/teqdeft-pvt-ltd/17871222,4-8,Not Disclosed,3 weeks ago,Remote + Contract
Freelance Document Formatting QA Specialist,Avantpage Translations,https://www.shine.com/jobs/freelance-document-formatting-qa-specialist/avantpage-translations/17975364,3-7,Not Disclosed,7 days ago,Remote + Contract
Snowflake And Matillion Data Architect,KHEYDIGIT,https://www.shine.com/jobs/snowflake-and-matillion-data-architect/kheydigit/17890521,5-9,Not Disclosed,3 weeks ago,Remote + Contract
Enterprise Solutions Manager,11:11 Systems,https://www.shine.com/jobs/enterprise-solutions-manager/1111-systems/17980614,3-7,Not Disclosed,5 days ago,Remote + Contract
AWS Solutions Architect and Software Architecture,AECInspire,https://www.shine.com/jobs/aws-solutions-architect-and-software-architecture/aecinspire/17992296,5-9,Not Disclosed,3 days ago,Remote + Contract
SAP Consultant,Codash Solutions,https://www.shine.com/jobs/sap-consultant/codash-solutions/17984787,7-11,Not Disclosed,4 days ago,Remote + Contract
Freelance SAP S/4 HANA Trainer (FICO/MM/SD/PP/HCM),SUAVE OVERSEAS LLP,https://www.shine.com/jobs/freelance-sap-s-4-hana-trainer-fico-mm-sd-pp-hcm/suave-overseas-llp/17935142,5-10,Not Disclosed,2 weeks ago,Remote + Contract
Senior SAP Consultants - SD / LE / PP / PS / ABAP / MM / WM / BASIS,Aray Consulting LLP,https://www.shine.com/jobs/senior-sap-consultants-sd-le-pp-ps-abap-mm-wm-basis/aray-consulting-llp/17848170,8-12,Not Disclosed,1 month ago,Remote + Contract
Freelance Developers,Alphareach Technologies,https://www.shine.com/jobs/freelance-developers/alphareach-technologies/17794004,5-9,Not Disclosed,1 month ago,Remote + Contract
Freelance Front-End Developer,White Globe Group,https://www.shine.com/jobs/freelance-front-end-developer/white-globe-group/17851729,3-7,Not Disclosed,1 month ago,Remote + Contract
Freelance Web Developer,(HumanBridge),https://www.shine.com/jobs/freelance-web-developer/humanbridge/17986683,2-6,Not Disclosed,4 days ago,Remote + Contract
Freelance VR Game Developer,CreativeMUD Business Pvt Ltd,https://www.shine.com/jobs/freelance-vr-game-developer/creativemud-business-pvt-ltd/17834291,5-9,Not Disclosed,1 month ago,Remote + Contract
Mobile App Android and IOS developer  freelance,Ensure Safe Consultancy Pte Ltd,https://www.shine.com/jobs/mobile-app-android-and-ios-developer-freelance/ensure-safe-consultancy-pte-ltd/17812258,2-6,Not Disclosed,1 month ago,Remote + Contract
Freelance Recruiter -Work From Home,Sharda Consultancy Services Hiring For Nandini Parashar 9773634524,https://www.shine.com/jobs/freelance-recruiter-work-from-home/sharda-consultancy-services/17968653,97736345241-5,Not Disclosed,1 week ago,Remote + Contract
Strategic Sourcing Mgr G&A and GCO x-Category,Amgen,https://www.shine.com/jobs/strategic-sourcing-mgr-ga-and-gco-x-category/amgen/17993548,4-12,Not Disclosed,3 days ago,Remote + Contract
SAP Hana Views Developer,IClimb,https://www.shine.com/jobs/sap-hana-views-developer/iclimb/17907580,7-11,Not Disclosed,2 weeks ago,Remote + Contract